title;author;journal;year;source;pages;volume;document_type;doi;url;publisher;issn;status;
Smart manufacturing systems: state of the art and future trends;Qu, Y. J. and Ming, X. G. and Liu, Z. W. and Zhang, X. Y. and Hou, Z. T.;INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY;2019;ISI Web of Science;3751-3768;103;article;10.1007/s00170-019-03754-7;;;0268-3768;Accepted;
Fog/Edge Computing-Based IoT (FECIoT): Architecture, Applications, and Research Issues;Omoniwa, Babatuni and Hussain, Riaz and Javed, Muhammad Awais and Bouk, Safdar Hussain and Malik, Shahzad A.;IEEE INTERNET OF THINGS JOURNAL;2019;ISI Web of Science;4118-4149;6;article;10.1109/JIOT.2018.2875544;;;2327-4662;Duplicated;
A novel fluid architecture for cyber-physical production systems;Beregi, R. and Pedone, G. and Mezgar, I;INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING;2019;ISI Web of Science;340-351;32;article;10.1080/0951192X.2019.1571239;;;0951-192X;Duplicated;
Performance analysis of CyberManufacturing Systems;Song, Zhengyi and Moon, Young;PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART B-JOURNAL OF ENGINEERING MANUFACTURE;2019;ISI Web of Science;1362-1376;233;article;10.1177/0954405417706996;;;0954-4054;Rejected;
Practical Privacy-preserving High-order Bi-Lanczos in Integrated Edge-Fog-Cloud Architecture for Cyber-Physical-Social Systems;Feng, Jun and Yang, Laurence T. and Zhang, Ronghao;ACM TRANSACTIONS ON INTERNET TECHNOLOGY;2019;ISI Web of Science;;19;article;10.1145/3230641;;;1533-5399;Duplicated;
Design and evaluation of a scalable smart city software platform with large-scale simulations;Del Esposte, Arthur de M. and Santana, Eduardo F. Z. and Kanashiro, Lucas and Costa, Fabio M. and Braghetto, Kelly R. and Lago, Nelson and Kon, Fabio;FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE;2019;ISI Web of Science;427-441;93;article;10.1016/j.future.2018.10.026;;;0167-739X;Duplicated;
Future smart energy software houses;Kettunen, Petri and Makitalo, Niko;EUROPEAN JOURNAL OF FUTURES RESEARCH;2019;ISI Web of Science;;7;article;10.1186/s40309-018-0153-9;;;2195-4194;Accepted;
Semantic Integration of Plug-and-Play Software Components for Industrial Edges Based on Microservices;Dai, Wenbin and Wang, Peng and Sun, Weiqi and Wu, Xian and Zhang, Hualiang and Vyatkin, Valeriy and Yang, Genke;IEEE ACCESS;2019;ISI Web of Science;125882-125892;7;article;10.1109/ACCESS.2019.2938565;;;2169-3536;Duplicated;
Implementation of a Large-Scale Platform for Cyber-Physical System Real-Time Monitoring;Canizo, Mikel and Conde, Angel and Charramendieta, Santiago and Minon, Raul and Cid-Fuentes, Raul G. and Onieva, Enrique;IEEE ACCESS;2019;ISI Web of Science;52455-52466;7;article;10.1109/ACCESS.2019.2911979;;;2169-3536;Duplicated;
A Survey on Emerging SDN and NFV Security Mechanisms for IoT Systems;Farris, Ivan and Taleb, Tarik and Khettab, Yacine and Song, Jaeseung;IEEE COMMUNICATIONS SURVEYS AND TUTORIALS;2019;ISI Web of Science;812-837;21;article;10.1109/COMST.2018.2862350;;;1553-877X;Accepted;
Could-based vehicular networks: a taxonomy, survey, and conceptual hybrid architecture;Jabbarpour, Mohammad Reza and Marefat, Alireza and Jalooli, Ali and Zarrabi, Houman;WIRELESS NETWORKS;2019;ISI Web of Science;335-354;25;article;10.1007/s11276-017-1563-5;;;1022-0038;Accepted;
Smart farming IoT platform based on edge and cloud computing;Zamora-Izquierdo, Miguel A. and Santa, Jose and Martinez, Juan A. and Martinez, Vicente and Skarmeta, Antonio F.;BIOSYSTEMS ENGINEERING;2019;ISI Web of Science;4-17;177;article;10.1016/j.biosystemseng.2018.10.014;;;1537-5110;Accepted;
Power- and Time-Aware Deep Learning Inference for Mobile Embedded Devices;Kang, Woochul and Chung, Jaeyong;IEEE ACCESS;2019;ISI Web of Science;3778-3789;7;article;10.1109/ACCESS.2018.2887099;;;2169-3536;Duplicated;Networking architectures and protocols for smart city systems;Jawhar, Imad and Mohamed, Nader and Al-Jaroodi, Jameela;JOURNAL OF INTERNET SERVICES AND APPLICATIONS;2018;ISI Web of Science;;9;article;10.1186/s13174-018-0097-0;;;1867-4828;Accepted;
Fog computing for the integration of agents and web services in an autonomic reflexive middleware;Sanchez, Manuel and Aguilar, Jose and Exposito, Ernesto;SERVICE ORIENTED COMPUTING AND APPLICATIONS;2018;ISI Web of Science;333-347;12;article;10.1007/s11761-018-0238-0;;;1863-2386;Duplicated;
Dynamic reconfiguration of service-oriented resources in cyber-physical production systems by a process -independent approach with multiple criteria and multiple resource management operations;Engelsberger, Maximilian and Greiner, Thomas;FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE;2018;ISI Web of Science;424-441;88;article;10.1016/j.future.2018.06.002;;;0167-739X;Accepted;
Model similarity evidence and interoperability affinity in cloud-ready Industry 4.0 technologies;Pedone, G. and Mezgar, I.;COMPUTERS IN INDUSTRY;2018;ISI Web of Science;278-286;100;article;10.1016/j.compind.2018.05.003;;;0166-3615;Duplicated;
Scheduling framework for distributed intrusion detection systems over heterogeneous network architectures;Francisco Colom, Jose and Gil, David and Mora, Higinio and Volckaert, Bruno and Manuel Jimeno, Antonio;JOURNAL OF NETWORK AND COMPUTER APPLICATIONS;2018;ISI Web of Science;76-86;108;article;10.1016/j.jnca.2018.02.004;;;1084-8045;Accepted;
Access control for cyber-physical systems interconnected to the cloud;Lopez, Javier and Rubio, Juan E.;COMPUTER NETWORKS;2018;ISI Web of Science;46-54;134;article;10.1016/j.comnet.2018.01.037;;;1389-1286;Accepted;
A secure and distributed message oriented middleware for smart building applications;Lilis, Georgios and Kayal, Maher;AUTOMATION IN CONSTRUCTION;2018;ISI Web of Science;163-175;86;article;10.1016/j.autcon.2017.10.030;;;0926-5805;Duplicated;
Integration of numerical model and cloud computing;Chen, Chong and Chen, Dan and Yan, Yingnan and Zhang, Gaofeng and Zhou, Qingguo and Zhou, Rui;FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE;2018;ISI Web of Science;396-407;79;article;10.1016/j.future.2017.06.007;;;0167-739X;Accepted;
A Survey on Industrial Internet of Things: A Cyber-Physical Systems Perspective;Xu, Hansong and Yu, Wei and Griffith, David and Golmie, Nada;IEEE ACCESS;2018;ISI Web of Science;78238-78259;6;article;10.1109/ACCESS.2018.2884906;;;2169-3536;Accepted;
Future Cloud Systems Design: Challenges and Research Directions;Taherkordi, Amir and Zahid, Feroz and Verginadis, Yiannis and Horn, Geir;IEEE ACCESS;2018;ISI Web of Science;74120-74150;6;article;10.1109/ACCESS.2018.2883149;;;2169-3536;Accepted;
Fuzzy Join for Flexible Combining Big Data Lakes in Cyber-Physical Systems;Malysiak-Mrozek, Bozena and Lipinska, Anna and Mrozek, Dariusz;IEEE ACCESS;2018;ISI Web of Science;69545-69558;6;article;10.1109/ACCESS.2018.2879829;;;2169-3536;Accepted;
Towards development of cyber-physical systems based on integration of heterogeneous technologies;Choi, SangSu and Kang, Gyhun;INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS IN TECHNOLOGY;2018;ISI Web of Science;129-136;58;article;;;;0952-8091;Rejected;
Fog Computing-Based Cyber-Physical Machine Tool System;Zhou, Zude and Hu, Jianmin and Liu, Quan and Lou, Ping and Yan, Junwei and Li, Wenfeng;IEEE ACCESS;2018;ISI Web of Science;44580-44590;6;article;10.1109/ACCESS.2018.2863258;;;2169-3536;Duplicated;
A New Threat Intelligence Scheme for Safeguarding Industry 4.0 Systems;Moustafa, Nour and Adi, Erwin and Turnbull, Benjamin and Hu, Jiankun;IEEE ACCESS;2018;ISI Web of Science;33910-33924;6;article;10.1109/ACCESS.2018.2844794;;;2169-3536;Duplicated;
Data Processing in Cyber-Physical-Social Systems Through Edge Computing;Dautov, Rustem and Distefano, Salvatore and Bruneo, Dario and Longo, Francesco and Merlino, Giovanni and Puliafito, Antonio;IEEE ACCESS;2018;ISI Web of Science;29822-29835;6;article;10.1109/ACCESS.2018.2839915;;;2169-3536;Accepted;
Job Allocation Mechanism for Battery Consumption Minimization of Cyber-Physical-Social Big Data Processing Based on Mobile Cloud Computing;Yi, Gangman and Kim, Hyun-Woo and Park, Jong Hyuk and Jeong, Young-Sik;IEEE ACCESS;2018;ISI Web of Science;21769-21777;6;article;10.1109/ACCESS.2018.2803730;;;2169-3536;Duplicated;
Component Importance Analysis of Mobile Cloud Computing Systemin the Presence of Common-Cause Failures;Zheng, Junjun and Okamura, Hiroyuki and Dohi, Tadashi;IEEE ACCESS;2018;ISI Web of Science;18630-18642;6;article;10.1109/ACCESS.2018.2822338;;;2169-3536;Duplicated;
Software Platforms for Smart Cities: Concepts, Requirements, Challenges, and a Unified Reference Architecture;Zambom Santana, Eduardo Felipe and Chaves, Ana Paula and Gerosa, Marco Aurelio and Kon, Fabio and Milojicic, Dejan S.;ACM COMPUTING SURVEYS;2018;ISI Web of Science;;50;article;10.1145/3124391;;;0360-0300;Duplicated;
DEPENDABLE INFORMATION EXCHANGE FOR NEXT GENERATION MOBILE CYBER-PHYSICAL SYSTEMS;Navaie, Keivan and Aghvami, Hamid;IEEE WIRELESS COMMUNICATIONS;2017;ISI Web of Science;150-156;24;article;10.1109/MWC.2017.1600399;;;1536-1284;Duplicated;
A Manufacturing Big Data Solution for Active Preventive Maintenance;Wan, Jiafu and Tang, Shenglong and Li, Di and Wang, Shiyong and Liu, Chengliang and Abbas, Haider and Vasilakos, Athanasios V.;IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS;2017;ISI Web of Science;2039-2047;13;article;10.1109/TII.2017.2670505;;;1551-3203;Duplicated;
Performance evaluation of wide-spread assignment schemes in a vehicular cloud;Al-Rashed, Ebrahim and Al-Rousan, Mohammed and Al-Ibrahim, Naser;VEHICULAR COMMUNICATIONS;2017;ISI Web of Science;144-153;9;article;10.1016/j.vehcom.2017.05.005;;;2214-2096;Accepted;
Cloud-Assisted Safety Message Dissemination in VANET-Cellular Heterogeneous Wireless Network;Liu, Bingyi and Jia, Dongyao and Wang, Jianping and Lu, Kejie and Wu, Libing;IEEE SYSTEMS JOURNAL;2017;ISI Web of Science;128-139;11;article;10.1109/JSYST.2015.2451156;;;1932-8184;Accepted;
Learning-Based Data Envelopment Analysis for External Cloud Resource Allocation;Cho, Hsin-Hung and Lai, Chin-Feng and Shih, Timothy K. and Chao, Han-Chieh;MOBILE NETWORKS \& APPLICATIONS;2016;ISI Web of Science;846-855;21;article;10.1007/s11036-016-0728-2;;;1383-469X;Rejected;
Health Monitoring and Management for Manufacturing Workers in Adverse Working Conditions;Xu, Xiaoya and Zhong, Miao and Wan, Jiafu and Yi, Minglun and Gao, Tiancheng;JOURNAL OF MEDICAL SYSTEMS;2016;ISI Web of Science;;40;article;10.1007/s10916-016-0584-4;;;0148-5598;Accepted;
Cloud-Integrated Cyber-Physical Systems for Complex Industrial Applications;Shu, Zhaogang and Wan, Jiafu and Zhang, Daqiang and Li, Di;MOBILE NETWORKS \& APPLICATIONS;2016;ISI Web of Science;865-878;21;article;10.1007/s11036-015-0664-6;;;1383-469X;Duplicated;
A Delay-Aware Wireless Sensor Network Routing Protocol for Industrial Applications;Cai, Hu and Zhang, Yin and Yan, Hehua and Shen, Fangyang and Zhou, Keliang and Zhang, Chunhua;MOBILE NETWORKS \& APPLICATIONS;2016;ISI Web of Science;879-889;21;article;10.1007/s11036-016-0707-7;;;1383-469X;Rejected;
Big Data and virtualization for manufacturing cyber-physical systems: A survey of the current status and future outlook;Babiceanu, Radu F. and Seker, Remzi;COMPUTERS IN INDUSTRY;2016;ISI Web of Science;128-137;81;article;10.1016/j.compind.2016.02.004;;;0166-3615;Accepted;
An open distributed architecture for flexible hybrid assembly systems: a model-driven engineering approach;Thramboulidis, Kleanthis;INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY;2016;ISI Web of Science;1449-1460;85;article;10.1007/s00170-015-8064-4;;;0268-3768;Duplicated;
Cloud Robotics: Current Status and Open Issues;Wan, Jiafu and Tang, Shenglong and Yan, Hehua and Li, Di and Wang, Shiyong and Vasilakos, Athanasios V.;IEEE ACCESS;2016;ISI Web of Science;2797-2807;4;article;10.1109/ACCESS.2016.25749;;;2169-3536;Accepted;
Mobile Crowd Sensing for Traffic Prediction in Internet of Vehicles;Wan, Jiafu and Liu, Jianqi and Shao, Zehui and Vasilakos, Athanasios V. and Imran, Muhammad and Zhou, Keliang;SENSORS;2016;ISI Web of Science;;16;article;10.3390/s16010088;;;1424-8220;Accepted;
Cloud-assisted industrial cyber-physical systems: An insight;Yue, Xuejun and Cai, Hu and Yan, Hehua and Zou, Caifeng and Zhou, Keliang;MICROPROCESSORS AND MICROSYSTEMS;2015;ISI Web of Science;1262-1270;39;article;10.1016/j.micpro.2015.08.013;;;0141-9331;Accepted;
Cloud Computing Resource Scheduling and a Survey of Its Evolutionary Approaches;Zhan, Zhi-Hui and Liu, Xiao-Fang and Gong, Yue-Jiao and Zhang, Jun and Chung, Henry Shu-Hung and Li, Yun;ACM COMPUTING SURVEYS;2015;ISI Web of Science;;47;article;10.1145/2788397;;;0360-0300;Rejected;
Designing a Cyber-Physical Cloud Computing Architecture;Simmon, Eric and Sowe, Sulayman K. and Zettsu, Koji;IT PROFESSIONAL;2015;ISI Web of Science;40-45;17;article;10.1109/MITP.2015.51;;;1520-9202;Duplicated;
Cloud-based automation - System architecture and availability concept;Engel, Grischan and Stahl, Christian and Greiner, Thomas and Barth, Mike and Gorecky, Dominic;ATP EDITION;2015;ISI Web of Science;38-47;;article;;;;2190-4111;Rejected;
Toward Social Internet of Vehicles: Concept, Architecture, and Applications;Alam, Kazi Masudul and Saini, Mukesh and El Saddik, Abdulmotaleb;IEEE ACCESS;2015;ISI Web of Science;343-357;3;article;10.1109/ACCESS.2015.2416657;;;2169-3536;Duplicated;
A microscope for the data centre;Pereira, Nuno and Tennina, Stefano and Loureiro, Joao and Severino, Ricardo and Saraiva, Bruno and Santos, Manuel and Pacheco, Filipe and Tovar, Eduardo;INTERNATIONAL JOURNAL OF SENSOR NETWORKS;2015;ISI Web of Science;193-203;18;article;10.1504/IJSNET.2015.070400;;;1748-1279;Rejected;
IoT sensing framework with inter-cloud computing capability in vehicular networking;Wan, Jiafu and Zou, Caifeng and Zhou, Keliang and Lu, Rongshuang and Li, Di;ELECTRONIC COMMERCE RESEARCH;2014;ISI Web of Science;389-416;14;article;10.1007/s10660-014-9147-2;;;1389-5753;Accepted;
Maestro: An Orchestration Framework for Large-Scale WSN Simulations;Riliskis, Laurynas and Osipov, Evgeny;SENSORS;2014;ISI Web of Science;5392-5414;14;article;10.3390/s140305392;;;1424-8220;Duplicated;
Model-Driven Software Design of Cloud-based Cyber-Physical Systems (CCPS);Dell, Johannes and Greiner, Thomas and Rosenstiel, Wolfgang;AT-AUTOMATISIERUNGSTECHNIK;2013;ISI Web of Science;677-689;61;article;10.1515/auto.2013.1039;;;0178-2312;Rejected;
A Secured Health Care Application Architecture for Cyber-Physical Systems;Wang, Jin and Abid, Hassan and Lee, Sungyoung and Shu, Lei and Xia, Feng;CONTROL ENGINEERING AND APPLIED INFORMATICS;2011;ISI Web of Science;101-108;13;article;;;;1454-8658;Duplicated;
Towards Independent In-Cloud Evolution of Cyber-Physical Systems;Taherkordi, Amir and Eliassen, Frank;;2014;ACM Digital Library;19--24;;inproceedings;10.1109/CPSNA.2014.12;https://doi.org/10.1109/CPSNA.2014.12;IEEE Computer Society;;Accepted;
Gesture-based Cyber-physical In-home Therapy System in a Big Data Environment: Demo Abstract;Rahman, Mohamed Abdur;;2016;ACM Digital Library;11:1--11:1;;inproceedings;;http://dl.acm.org/citation.cfm?id=2984464.2984475;IEEE Press;;Rejected;
WiPi: An Extendable Edge Platform for Building Time-critical Cyber-physical-human Systems;Hasan, MD Asif and Chen, Haiming and Lin, Yimo and Liu, Xiwen;;2019;ACM Digital Library;109:1--109:5;;inproceedings;10.1145/3321408.3321412;http://doi.acm.org/10.1145/3321408.3321412;ACM;;Accepted;
Cyber-Physical Systems: Architecture, Security and Application;Guo, Song and Zeng, Deze;;2018;ACM Digital Library;;;book;;;Springer Publishing Company, Incorporated;;Rejected;
Access Control for Cyber-physical Systems Interconnected to the Cloud;Lopez, Javier and Rubio, Juan E.;Comput. Netw.;2018;ACM Digital Library;46--54;134;article;10.1016/j.comnet.2018.01.037;https://doi.org/10.1016/j.comnet.2018.01.037;Elsevier North-Holland, Inc.;1389-1286;Duplicated;
ICT Innovations 2018. Engineering and Life Sciences: 10th International Conference, ICT Innovations 2018, Ohrid, Macedonia, September 1719, 2018;Kalajdziski, Slobodan and Ackovska, Nevena;;2018;ACM Digital Library;;;book;;;Springer Publishing Company, Incorporated;;Rejected;
Artificial Intelligent Sensors at the Core of Cyber-physical-systems: From Theory to Practical Applications;Pau, Danilo;;2019;ACM Digital Library;2--2;;inproceedings;10.1145/3310273.3324019;http://doi.acm.org/10.1145/3310273.3324019;ACM;;Rejected;
Service Orientation in Holonic and Multi-Agent Manufacturing: Proceedings of SOHOMA 2016;Borangiu, Theodor and Trentesaux, Damien and Thomas, Andr and Leito, Paulo and Oliveira, Jos Barata;;2017;ACM Digital Library;;;book;;;Springer Publishing Company, Incorporated;;Rejected;
Performance Issues in Cloud Computing for Cyber-physical Applications;Olson, Michael and Chandy, K. Mani;;2011;ACM Digital Library;742--743;;inproceedings;10.1109/CLOUD.2011.118;https://doi.org/10.1109/CLOUD.2011.118;IEEE Computer Society;;Duplicated;
The SPD Approach to Deploy Service-based Applications in Thecloud;Yangui, Sami and Tata, Samir;Concurr. Comput. : Pract. Exper.;2015;ACM Digital Library;3943--3960;27;article;10.1002/cpe.3367;http://dx.doi.org/10.1002/cpe.3367;John Wiley and Sons Ltd.;1532-0626;Accepted;
Message from the Program Co-Chairs;;;2012;ACM Digital Library;xviii--xviii;;inproceedings;10.1109/ICPADS.2012.6;https://doi.org/10.1109/ICPADS.2012.6;IEEE Computer Society;;Rejected;
Quartz: Time-as-a-service for Coordination in Geo-distributed Systems;D'souza, Sandeep and Koehler, Heiko and Joshi, Akhilesh and Vaghani, Satyam and Rajkumar, Ragunathan (Raj);;2019;ACM Digital Library;264--279;;inproceedings;10.1145/3318216.3363311;http://doi.acm.org/10.1145/3318216.3363311;ACM;;Accepted;
QoSA '15: Proceedings of the 11th International ACM SIGSOFT Conference on Quality of Software Architectures;;;2015;ACM Digital Library;;;proceedings;;;ACM;;Rejected;
Cyber Physical Computing for IoT-driven Services;Hahanov, Vladimir;;2018;ACM Digital Library;;;book;;;Springer Publishing Company, Incorporated;;Duplicated;
Self-Aware Computing Systems;Kounev, Samuel and Kephart, Jeffrey O. and Milenkoski, Aleksandar and Zhu, Xiaoyun;;2017;ACM Digital Library;;;book;;;Springer Publishing Company, Incorporated;;Duplicated;
TRIDENTCOM'17: Proceedings of the 12th EAI International Conference on Testbeds and Research Infrastructures for the Development of Networks \& Communities;;;2018;ACM Digital Library;;;proceedings;;;ICST (Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering);-;Rejected;
Fuzzy Ontology-driven Web-based Framework for Supporting Architectural Design: Student Research Abstract;Nocera, Francesco;;2016;ACM Digital Library;1361--1362;;inproceedings;10.1145/2851613.2852014;http://doi.acm.org/10.1145/2851613.2852014;ACM;;Accepted;
Self-Aware Computing Systems;Kounev, Samuel and Kephart, Jeffrey O. and Milenkoski, Aleksandar and Zhu, Xiaoyun;;2018;ACM Digital Library;;;book;;;Springer Publishing Company, Incorporated;;Duplicated;
Secure Cloud Computing;Jajodia, Sushil and Kant, Krishna and Samarati, Pierangela and Singhal, Anoop and Swarup, Vipin and Wang, Cliff;;2014;ACM Digital Library;;;book;;;Springer Publishing Company, Incorporated;;Duplicated;
Enabling a Ubiquitous and Cloud Manufacturing Foundation with Field-level Service-oriented Architecture;Morgan, Jeff and O\&#x2019;Donnell, Garret E.;Int. J. Comput. Integr. Manuf.;2017;ACM Digital Library;442--458;30;article;10.1080/0951192X.2015.1032355;https://doi.org/10.1080/0951192X.2015.1032355;Taylor & Francis, Inc.;0951-192X;Accepted;
SEAMS '17: Proceedings of the 12th International Symposium on Software Engineering for Adaptive and Self-Managing Systems;;;2017;ACM Digital Library;;;proceedings;;;IEEE Press;;Rejected;
SEAMS '19: Proceedings of the 14th International Symposium on Software Engineering for Adaptive and Self-Managing Systems;;;2019;ACM Digital Library;;;proceedings;;;IEEE Press;;Rejected;
Networks and New Services: A Complete Story;Minerva, Roberto and Crespi, Noel;;2016;ACM Digital Library;;;book;;;Springer Publishing Company, Incorporated;;Rejected;
SEAMS '18: Proceedings of the 13th International Conference on Software Engineering for Adaptive and Self-Managing Systems;;;2018;ACM Digital Library;;;proceedings;;;ACM;;Rejected;
Cloud-Assisted IoT-Based SCADA Systems Security: A Review of the State of the Art and Future Challenges;A. {Sajid} and H. {Abbas} and K. {Saleem};IEEE Access;2016;IEEE Digital Library;1375-1384;4;article;10.1109/ACCESS.2016.2549047;;;;Accepted;
Towards a methodology and instrumentation toolset for cloud manufacturing;O. {Skarlat} and M. {Borkowski} and S. {Schulte};;2016;IEEE Digital Library;1-4;;inproceedings;10.1109/CPPS.2016.7483920;;;;Accepted;
Toward Social Internet of Vehicles: Concept, Architecture, and Applications;K. M. {Alam} and M. {Saini} and A. E. {Saddik};IEEE Access;2015;IEEE Digital Library;343-357;3;article;10.1109/ACCESS.2015.2416657;;;;Duplicated;
Wide-area control of power systems using cloud-in-the-loop feedback;M. {Weiss} and J. {Zhang} and A. {Chakrabortty};;2016;IEEE Digital Library;831-835;;inproceedings;10.1109/GlobalSIP.2016.7905959;;;;Accepted;
